id, time,      R1 , R2  , R3, R4,  Temp.,  Humidity,,,,,
0,4722.92,4019.64,-1.63E+03,-1.80E+03,13,79,317,,,,,
0,4059.12,2191.03,-1146.08,-1146.08,20,54,165,,,,,
0,4773.56,2787.99,-1263.38,-1263.38,46,67,224,,,,,
0,8271.27,9545.98,-2848.93,-2848.93,26,138,554,,,,id time,      R1         R2         R3         R4         R5         R6         R7        R8        Temp.      Humidity
0,7102.16,14148.8,-2381.15,-2381.15,85,120,809,,,,0  -0.999750  12.862100  10.368300  10.438300  11.669900  ,
0,7015.24,7336.79,-1699.8,-1699.8,22,95,427,,,,,
0,8620.28,24949.9,-3198.06,-3198.06,35,157,1519,,,,,
0,9238.73,39245.5,-2.59E+03,-2.59E+03,15,196,1885,,,,,
0,12276.4,59742,-5101,-5101,56,249,2826,,,,,
0,14165.5,140950,-1.41E+03,-1.41E+03,82,315,5844,,,,,
0,7069.95,15336.6,-3000.09,-3000.09,81,133,847,,,,,
0,10768.8,28521,-3732.37,-3732.37,61,214,1469,,,,,
0,10255.7,66668,-6050,-6050,97,207,3048,,,,,
0,6411.13,9698,-2686,-2686,59,104,652,,,,,
0,8766.37,11524.1,-3270.78,-3270.78,44,156,654,,,,,
0,9764.47,51960.7,-2.51E+03,-2.51E+03,16,188,2599,,,,,
0,15208.6,90305.4,-2.28E+03,-2.28E+03,53,223,2059,,,,,
0,6628.08,6490.83,-1923.04,-1923.04,23,100,485,,,,,
0,7836.78,5545,-2661,-2661,41,126,371,,,,,
0,10787.8,103850,-4705,-4705,85,237,4804,,,,,
1,7347.39,13978,-3121,-3121,24,126,765,,,,,
13,15563.6,110121,-6.38E+03,-6.38E+03,38,322,4619,,,,,
14,5091.81,4269.08,-1.52E+03,-1.52E+03,10,79,317,,,,,
0,3840,1433.37,-606.618,-606.618,32,40,100,,,,,
0,15435,144972,-5803.6,-5803.6,170,308,6057,,,,,
0,13353.1,40216.5,-1.76E+03,-1.76E+03,43,234,1581,,,,,
0,18609.3,300553,-12391,-12391,73,464,10829,,,,,
0,12024.8,115245,-2.02E+03,-2.02E+03,47,235,4905,,,,,
0,23099.1,280276,-13215,-13215,264,465,8741,,,,,
0,8334.2,9499.81,-2868.48,-2868.48,97,130,490,,,,,
0,11983.7,46065.4,-5543.47,-5543.47,49,273,2061,,,,,
0,18072.9,161030,-8.83E+03,-8.83E+03,91,388,6290,,,,,
0,13071.6,151812,-6450,-6450,66,284,6506,,,,,
0,19248.1,162489,-1.06E+04,-1.06E+04,88,388,6290,,,,,
0,19217.4,205811,-10695,-10695,61,390,6741,,,,,
0,9714.1,33873.2,-2.73E+03,-2.73E+03,56,234,1581,,,,,
0,4911.72,2837.21,-1207.83,-1207.83,47,67,224,,,,,
0,12894.8,60525,-4.78E+03,-4.78E+03,25,247,2754,,,,,
0,10721.5,38062.2,-4162.48,-4162.48,129,205,1751,,,,,
0,10991.8,86042.1,-2.96E+03,-2.96E+03,18,220,3450,,,,,
